iter	Passed	Remaining
0	1	197
1	3	186
2	5	184
3	7	171
4	9	173
5	10	171
6	12	170
7	14	168
8	16	166
9	18	166
10	20	164
11	22	162
12	24	160
13	26	160
14	28	159
15	30	157
16	32	158
17	34	157
18	36	156
19	38	155
20	40	153
21	42	151
22	44	149
23	46	147
24	48	146
25	50	144
26	52	142
27	54	140
28	56	138
29	58	135
30	60	134
31	62	131
32	63	129
33	65	127
34	67	125
35	69	123
36	72	122
37	74	120
38	76	119
39	78	117
40	80	115
41	81	112
42	83	110
43	85	108
44	87	107
45	89	105
46	91	103
47	93	101
48	95	99
49	97	97
50	98	95
51	100	93
52	103	91
53	105	89
54	106	87
55	108	85
56	111	83
57	113	81
58	114	79
59	117	78
60	119	76
61	121	74
62	123	72
63	126	70
64	128	69
65	130	67
66	132	65
67	134	63
68	136	61
69	138	59
70	140	57
71	142	55
72	144	53
73	146	51
74	148	49
75	150	47
76	152	45
77	154	43
78	156	41
79	158	39
80	160	37
81	162	35
82	164	33
83	166	31
84	168	29
85	170	27
86	172	25
87	174	23
88	176	21
89	178	19
90	180	17
91	182	15
92	184	13
93	185	11
94	187	9
95	189	7
96	191	5
97	193	3
98	195	1
99	197	0
