iter	Passed	Remaining
0	147	147311
1	149	74353
2	150	50153
3	152	37953
4	153	30630
5	155	25754
6	157	22331
7	159	19741
8	161	17741
9	162	16132
10	164	14789
11	166	13667
12	167	12714
13	169	11924
14	170	11215
15	172	10603
16	174	10061
17	175	9590
18	177	9156
19	178	8766
20	180	8412
21	182	8107
22	183	7815
23	185	7539
24	187	7303
25	188	7077
26	190	6860
27	191	6660
28	193	6483
29	195	6311
30	196	6148
31	198	5994
32	200	5862
33	201	5732
34	203	5604
35	204	5487
36	206	5383
37	208	5276
38	210	5179
39	212	5105
40	214	5017
41	216	4933
42	218	4861
43	220	4781
44	221	4703
45	223	4629
46	225	4564
47	227	4502
48	229	4446
49	231	4401
50	233	4348
51	235	4290
52	237	4235
53	238	4181
54	240	4128
55	242	4080
56	244	4036
57	245	3989
58	247	3944
59	249	3906
60	251	3864
61	252	3823
62	254	3784
63	256	3747
64	257	3710
65	259	3674
66	261	3645
67	263	3611
68	265	3576
69	266	3546
70	269	3519
71	270	3490
72	272	3463
73	274	3438
74	276	3410
75	278	3382
76	280	3359
77	281	3332
78	283	3306
79	285	3287
80	288	3267
81	289	3244
82	290	3212
83	292	3194
84	294	3172
85	296	3151
86	298	3137
87	300	3118
88	302	3097
89	305	3084
90	306	3065
91	308	3045
92	310	3031
93	312	3012
94	314	2996
95	316	2983
96	319	2969
97	321	2955
98	323	2943
99	325	2928
100	327	2915
101	330	2912
102	332	2897
103	335	2887
104	337	2877
105	340	2875
106	343	2867
107	346	2860
108	349	2855
109	351	2843
110	353	2835
111	356	2824
112	358	2817
113	361	2808
114	363	2796
115	365	2785
116	367	2772
117	369	2761
118	372	2758
119	375	2751
120	377	2743
121	379	2732
122	382	2725
123	385	2723
124	387	2714
125	390	2708
126	392	2697
127	394	2687
128	396	2680
129	399	2674
130	402	2672
131	405	2666
132	408	2660
133	410	2653
134	412	2644
135	415	2639
136	417	2630
137	419	2622
138	423	2620
139	425	2613
140	428	2611
141	430	2599
142	432	2593
143	435	2589
144	438	2583
145	440	2579
146	443	2573
147	446	2569
148	449	2564
149	452	2566
150	456	2565
151	459	2562
152	461	2557
153	465	2556
154	467	2550
155	471	2550
156	474	2545
157	477	2542
158	479	2537
159	483	2538
160	485	2529
161	489	2529
162	491	2524
163	494	2521
164	497	2518
165	500	2514
166	503	2509
167	505	2505
168	509	2503
169	512	2503
170	515	2501
171	520	2506
172	523	2502
173	527	2502
174	529	2497
175	533	2495
176	535	2491
177	539	2490
178	542	2489
179	545	2485
180	548	2481
181	551	2478
182	554	2473
183	556	2470
184	559	2465
185	563	2465
186	566	2462
187	569	2461
188	572	2456
189	575	2453
190	578	2449
191	581	2447
192	584	2443
193	587	2442
194	590	2437
195	593	2434
196	596	2429
197	599	2427
198	601	2422
199	605	2420
200	607	2415
201	610	2412
202	613	2409
203	616	2404
204	619	2402
205	622	2400
206	625	2397
207	628	2394
208	631	2390
209	634	2385
210	637	2382
211	639	2378
212	643	2378
213	646	2375
214	650	2373
215	652	2369
216	656	2368
217	659	2365
218	662	2361
219	665	2360
220	668	2356
221	671	2353
222	674	2350
223	677	2347
224	680	2344
225	683	2342
226	687	2339
227	690	2338
228	693	2335
229	697	2334
230	699	2330
231	702	2325
232	705	2321
233	708	2317
234	711	2315
235	714	2313
236	718	2312
237	721	2311
238	724	2306
239	727	2304
240	730	2300
241	733	2297
242	736	2293
243	738	2289
244	741	2285
245	743	2279
246	746	2275
247	749	2271
248	752	2271
249	755	2267
250	759	2265
251	761	2260
252	764	2257
253	767	2253
254	770	2251
255	773	2248
256	776	2245
257	779	2242
258	782	2239
259	785	2236
260	788	2232
261	791	2228
262	794	2226
263	797	2224
264	802	2225
265	805	2221
266	808	2219
267	810	2214
268	813	2211
269	817	2208
270	821	2211
271	824	2207
272	827	2204
273	830	2200
274	833	2198
275	837	2196
276	840	2192
277	843	2189
278	846	2186
279	849	2184
280	852	2181
281	855	2177
282	858	2175
283	861	2171
284	864	2169
285	867	2165
286	870	2162
287	873	2158
288	876	2156
289	879	2153
290	882	2149
291	884	2145
292	887	2142
293	891	2140
294	894	2138
295	899	2139
296	902	2136
297	906	2135
298	910	2133
299	913	2131
300	915	2126
301	918	2123
302	921	2119
303	924	2116
304	926	2111
305	929	2107
306	932	2104
307	934	2100
308	937	2096
309	940	2093
310	943	2090
311	946	2087
312	949	2084
313	951	2079
314	954	2076
315	957	2072
316	960	2068
317	963	2065
318	965	2060
319	968	2057
320	970	2052
321	973	2048
322	975	2045
323	979	2043
324	982	2039
325	984	2035
326	987	2032
327	989	2027
328	992	2024
329	994	2019
330	997	2015
331	1000	2012
332	1002	2008
333	1006	2006
334	1008	2002
335	1011	1998
336	1013	1994
337	1016	1990
338	1018	1986
339	1021	1982
340	1023	1978
341	1026	1974
342	1028	1970
343	1031	1966
344	1033	1962
345	1036	1958
346	1039	1957
347	1043	1954
348	1045	1949
349	1047	1946
350	1050	1941
351	1052	1937
352	1054	1933
353	1057	1930
354	1061	1927
355	1063	1924
356	1066	1920
357	1068	1915
358	1070	1910
359	1072	1906
360	1074	1902
361	1076	1897
362	1079	1894
363	1081	1889
364	1083	1885
365	1085	1880
366	1087	1875
367	1089	1871
368	1092	1867
369	1094	1862
370	1096	1858
371	1098	1854
372	1100	1849
373	1102	1845
374	1104	1841
375	1106	1836
376	1108	1832
377	1110	1828
378	1112	1823
379	1115	1819
380	1117	1815
381	1119	1810
382	1121	1806
383	1123	1802
384	1125	1798
385	1128	1794
386	1130	1790
387	1132	1786
388	1134	1782
389	1136	1777
390	1138	1773
391	1141	1769
392	1143	1765
393	1145	1761
394	1147	1757
395	1149	1753
396	1151	1749
397	1153	1745
398	1155	1741
399	1158	1737
400	1160	1733
401	1162	1729
402	1165	1726
403	1167	1722
404	1169	1718
405	1172	1715
406	1174	1711
407	1177	1708
408	1179	1704
409	1182	1701
410	1184	1698
411	1187	1694
412	1190	1691
413	1192	1688
414	1195	1685
415	1198	1682
416	1201	1679
417	1204	1676
418	1207	1674
419	1209	1670
420	1212	1667
421	1215	1665
422	1218	1662
423	1222	1660
424	1224	1656
425	1227	1653
426	1229	1649
427	1232	1647
428	1235	1644
429	1238	1641
430	1240	1638
431	1243	1635
432	1246	1632
433	1248	1628
434	1251	1626
435	1254	1622
436	1257	1620
437	1260	1617
438	1264	1615
439	1266	1612
440	1269	1609
441	1272	1605
442	1275	1603
443	1278	1601
444	1282	1599
445	1285	1596
446	1288	1594
447	1291	1591
448	1294	1588
449	1297	1585
450	1299	1582
451	1302	1578
452	1305	1576
453	1308	1573
454	1311	1570
455	1314	1567
456	1317	1564
457	1320	1562
458	1322	1559
459	1325	1556
460	1327	1552
461	1330	1549
462	1333	1546
463	1336	1543
464	1339	1540
465	1342	1537
466	1345	1536
467	1349	1533
468	1352	1530
469	1355	1528
470	1358	1525
471	1361	1523
472	1364	1520
473	1367	1517
474	1369	1513
475	1372	1510
476	1375	1507
477	1377	1504
478	1381	1502
479	1383	1498
480	1386	1496
481	1389	1493
482	1393	1491
483	1395	1488
484	1399	1485
485	1402	1482
486	1404	1479
487	1407	1476
488	1411	1474
489	1414	1471
490	1418	1470
491	1422	1468
492	1425	1465
493	1428	1463
494	1431	1460
495	1434	1457
496	1437	1454
497	1440	1451
498	1443	1449
499	1446	1446
500	1449	1443
501	1452	1440
502	1455	1438
503	1458	1435
504	1461	1432
505	1464	1429
506	1468	1427
507	1471	1425
508	1474	1422
509	1478	1420
510	1482	1418
511	1485	1415
512	1488	1412
513	1490	1409
